symbol,date,open,low,high,close,adjClose,volume
SAVE,2018-01-02 00:00:00,44.7,44.09,45.61,45.6,42.69,899200.0
A1G.DE,2018-01-02 00:00:00,43.2925,43.2925,43.2925,43.2925,43.023121,0.0
GLUX,2018-01-02 00:00:00,0.1507,0.1507,0.15565,0.15565,0.15565,11136.0
SWN.DE,2018-01-02 00:00:00,54.419998,54.419998,54.419998,54.419998,53.993729,0.0
HRBR,2018-01-02 00:00:00,0.02,0.01,0.02,0.02,0.02,40600.0
JET.NE,2018-01-02 00:00:00,6.9,6.9,8.9,8.9,8.9,305428.0
SKYW,2018-01-02 00:00:00,53.1,52.73,53.3,53.0,51.89,361000.0
LUV,2018-01-02 00:00:00,65.91,65.51,66.37,66.29,63.08,3791500.0
ALGT,2018-01-02 00:00:00,155.4,148.16,157.0,154.05,145.1,171600.0
DAL,2018-01-02 00:00:00,56.29,55.87,56.74,56.74,53.26,5297600.0
ALK,2018-01-02 00:00:00,74.04,73.82,75.12,75.01,71.539886,1738202.0
HA,2018-01-02 00:00:00,40.0,39.8,40.7,40.1,38.761833,869462.0
AAL,2018-01-02 00:00:00,52.33,51.9,53.1,52.99,51.647556,4084712.0
JBLU,2018-01-02 00:00:00,22.37,22.19,22.49,22.38,22.379999,3414649.0
UAL,2018-01-02 00:00:00,67.9,67.38,69.01,68.94,68.940002,3390693.0
ATSG,2018-01-02 00:00:00,23.17,23.17,23.925,23.42,23.42,430139.0
SAVE,2018-01-03 00:00:00,45.54,43.47,45.54,44.14,41.32,1413800.0
A1G.DE,2018-01-03 00:00:00,43.2925,43.2925,43.2925,43.2925,43.023121,0.0
SWN.DE,2018-01-03 00:00:00,54.419998,54.419998,54.419998,54.419998,53.993729,0.0
HRBR,2018-01-03 00:00:00,0.01,0.01,0.02,0.02,0.02,10200.0
GLUX,2018-01-03 00:00:00,0.22,0.22,0.23,0.23,0.23,7787.0
JET.NE,2018-01-03 00:00:00,10.0,8.3,11.5,9.7,9.7,781372.0
SKYW,2018-01-03 00:00:00,53.0,51.25,53.05,51.3,50.23,255700.0
LUV,2018-01-03 00:00:00,66.12,64.6,66.19,64.91,61.76,5006400.0
ALGT,2018-01-03 00:00:00,153.2,149.7,155.35,155.0,146.0,158600.0
DAL,2018-01-03 00:00:00,56.47,55.07,56.6,55.69,52.27,9332000.0
ALK,2018-01-03 00:00:00,75.08,73.685,75.1,74.66,71.206093,1653059.0
HA,2018-01-03 00:00:00,40.25,38.5,40.35,38.5,37.215221,1095547.0
AAL,2018-01-03 00:00:00,52.86,52.055,52.86,52.34,51.014027,5074850.0
JBLU,2018-01-03 00:00:00,22.32,21.57,22.32,21.59,21.59,5207522.0
UAL,2018-01-03 00:00:00,68.94,67.82,69.37,68.49,68.489998,4590904.0
ATSG,2018-01-03 00:00:00,23.54,23.41,24.36,24.11,24.110001,570750.0
SAVE,2018-01-04 00:00:00,43.94,43.33,44.25,43.5,40.72,1823600.0
A1G.DE,2018-01-04 00:00:00,43.2925,43.2925,43.2925,43.2925,43.023121,0.0
SWN.DE,2018-01-04 00:00:00,54.419998,54.419998,54.419998,54.419998,53.993729,0.0
HRBR,2018-01-04 00:00:00,0.02,0.02,0.03,0.03,0.03,20000.0
GLUX,2018-01-04 00:00:00,0.13,0.13,0.23,0.23,0.23,6687.0
JET.NE,2018-01-04 00:00:00,9.7,8.5,9.9,9.0,9.0,280108.0
SKYW,2018-01-04 00:00:00,51.3,50.93,51.85,51.45,50.37,315000.0
LUV,2018-01-04 00:00:00,65.0,64.14,65.03,64.7,61.56,4161400.0
ALGT,2018-01-04 00:00:00,155.95,150.85,157.23,150.85,142.09,85100.0
DAL,2018-01-04 00:00:00,55.73,54.93,55.86,55.69,52.27,9026100.0
ALK,2018-01-04 00:00:00,74.79,72.82,75.08,73.85,70.433548,1344096.0
HA,2018-01-04 00:00:00,38.85,38.3,39.75,38.8,37.505211,866655.0
AAL,2018-01-04 00:00:00,52.48,52.265,54.4,52.67,51.335667,3557059.0
JBLU,2018-01-04 00:00:00,21.65,21.28,21.835,21.69,21.690001,5247571.0
UAL,2018-01-04 00:00:00,68.69,67.64,69.3652,69.26,69.260002,3922956.0
